X,Y,Z
-1.035536000000000012e+00,-1.109223999999999988e+00,-4.318799999999999861e-01
-9.359839999999999272e-01,-1.032119999999999926e+00,-1.234640000000000043e-01
-1.148263999999999951e+00,-6.851519999999999833e-01,1.883680000000000077e-01
-1.476199999999999957e+00,-4.030880000000000019e-01,2.225280000000000036e-01
-1.289784000000000042e+00,-2.908479999999999954e-01,1.942240000000000077e-01
-1.180471999999999966e+00,-3.108560000000000212e-01,3.157360000000000166e-01
-1.379575999999999913e+00,-2.596160000000000134e-01,2.171599999999999919e-01
-1.611375999999999920e+00,-2.527840000000000087e-01,-4.635999999999999843e-02
-1.874407999999999852e+00,-1.795839999999999936e-01,-4.870240000000000125e-01
-1.409831999999999974e+00,-3.562399999999999595e-02,-4.138239999999999696e-01
-1.434719999999999995e+00,1.829999999999999960e-01,-2.439999999999999808e-02
-1.717759999999999954e+00,3.708799999999999875e-01,4.587199999999999611e-02
